fioriId,all_text,pre_label,Label
FPU6,History of Transfers This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Contract Accounts Receivable and Payable History of Transfers,1,1
_SCWM_MS_RESULT,Start Measurement Services This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Labor Management Start Measurement Services,1,1
WRFCHVALGRP,"Maintain Groups - Characteristic Values You can group characteristic values from one characteristic as required, and arrange characteristic value groups and individual characteristic values in a hierarchy. You can assign a characteristic value to several characteristic value groups.You define the hierarchy in the navigation area. A characteristic value group corresponds to a node. In the work area, you can assign the characteristic values you require to individual nodes. Note When you are processing an article, the system only displays the characteristic values that you have assigned to a characteristic value group in the search help for characteristic value selection. You can only enter other characteristic values manually. You can assign merchandise categories to a characteristic value group to specify that the characteristic values in this characteristic value group are only used in the assigned merchandise categories. If you do not assign anything to it, the characteristic value group is valid for all merchandise categories.To assign characteristic values to a node in the hierarchy, or to restrict the use of characteristic values to certain merchandise categories, you use the functions in the Characteristic Value Assignment and Merchandise Category Restriction work areas.You can, for example, use multiple selection to assign several characteristic values in one process step, or to assign several merchandise categories by selecting one characteristics profile. You can display change documents for the grouping data. Grouping characteristic values simplifies the search for characteristic values when you are creating articles. You use existing characteristic values to create a hierarchy grouping, which enables you to divide the characteristic value total into manageable partial quantities. You can assign a characteristic value to several groups. unknown Merchandise Categories Master Data Specialist - Product Data (Retail) Characteristic Values Maintain Groups - Characteristic Values",0,0
RECPA420,Print: Contract Form This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Correspondence Print: Contract Form,1,1
COP21,"Pack HUs to Production Order - Without Order Reference You can create handling units with or without a direct reference to a sales order, a delivery or a stock transport order. If you choose to pack the handling units, they have a status of realized. Production Operator - Discrete Manufacturing : Operates the machines or does manual assembly activities on the production line or in a shop floor environment, to produce as per the planned production orders of the shift. Reports Yield, Scrap and Rework, Downtimes, etc. into the system. Production Supervisor - Discrete Manufacturing : Ensures, together with his team, a smooth production process. Ensures that the manufacturing plan created by the production planner is executed under consideration of shop floor related issues like personnel shortage, machine breakdowns, etc. Production Supervisor - Process Manufacturing : Ensures a smooth production process. Ensures that the manufacturing plan created by the production planner is executed under consideration of shop floor related issues like personnel shortage, machine breakdowns, etc. Production Operator - Process Manufacturing : Operates the machines on the production line, to produce as per the planned process orders of the shift. Starts the day by taking shift handover and reports Yield, Scrap and Rework, Downtimes, Material consumption and Goods Receipt into the system. Handling Unit Management Without Order Reference Pack HUs to Production Order - Without Order Reference",0,0
CJ88,"Run Settlement - Projects - Actual Business objects are settled by allocating the planned or actual costs incurred, in whole or in part, to one or more receivers. Offsetting entries are generated automatically to credit the sender object. The debits that were made to the sender object remain in place after settlement (and can therefore be displayed). The settled costs are updated on the corresponding receiver object and are shown in reports. Note Settlement is performed in parallel in all valuation methods except settlement to fixed assets or profitability segments. Settlement to fixed assets uses the legal valuation amount. Settlement to profitability segments uses the operational valuation amount. The order is debited in all valuations as shown in the figure below. Line items can only be settled to an asset if the legal valuation method is your operational valuation. Cost Accountant - Overhead : Defines overhead master data and the period-end allocation cycle. Implements period-end allocation and monitors overhead costs. Reports expenses on the income statement in the period in which they are incurred. Controller : Sets up and edits organizational structures so that all processes and reports are as accurate as possible. Edits master data, reorganizes company structures, and performs period-end functions. Overhead Orders Cost Accountant - Overhead Projects - Actual Run Settlement - Projects - Actual",0,0
QP05,"Print Inspection Plan - General Printing Inspection Plans (General) You use this executable program (report) to print an inspection plan that has already been created. If you do not enter a group counter, all task lists in the task list group and all dependent characteristic specifications in the task list are printed. Note The fields Task list type and Key date are required fields. You can overwrite the date proposed by the system in the key date field. Printing Inspection Plans for Materials Unlike the program given above, this executable program (report) allows you to selectively print the dependent characteristic specifications that apply to this material or to a predefined combination of material, vendor and customer. The system chooses the same task list version as the one chosen when an inspection lot is created for a material. You can use this function to print inspection plans. There are the following options for print control: You can select and print task lists according to various criteria. You can selectively print task lists for a material. Quality Planner : Sets up master data (specification, inspection planning, FMEA) and advanced quality planning. Inspection Planning Quality Planner General Print Inspection Plan - General",0,0
O3UX7_WY_MKTOVR,"WYGP Marketing Xref Override This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Compliance Specialist - Reporting (Oil & Gas) : Sets up Legal Reporting data and planning, scheduling and execution of Oil & Gas Upstream PRA Legal Reporting processes. Transportation Planner (Oil & Gas) : Supervises and approves of Oil & Gas Upstream PRA Legal Reporting processes. Tax Reporting Compliance Manager - Reporting (IOG) WYGP Marketing Xref Override",1,1
FPPRD0,"Overview of Products The overview shows a list of the products that meet the selection criteria. In the overview, you can go directly to the display or change transaction for a selected product. You can get an overview of your products. unknown Contract Accounts Receivable and Payable Overview of Products",0,0
F5728,"Clean Up Productive Data, Clean Up Productive Data, Clean Up Productive Data, Clean Up Productive Data The program can only be run for cleaning up RAIs and relevant revenue contracts related to header IDs coming from external sender components and Sales and Distribution (SD). It cannot be used for CRM and Billing and Revenue Innovation Management (BRIM) - previously SAP Hybris Billing. This program only applies to company codes that are set to Productive for all accounting principles. This program handles the selected data as follows: If the revenue contracts don't have any postings, the program deletes the data that is created in Revenue Accounting directly. If the revenue contracts already have postings, the program reverses the postings to the general ledger to ensure that the data in the general ledger and Revenue Accounting can still be reconciled. All other data is deleted. Note To ensure that the data in Revenue Accounting and the general ledger are reconciled for revenue contracts which already have postings, the program only stores the data that is related to the original posting and the reversed posting to the general ledger in shadow tables (FARR_D_POSTING_S and FARR_D_RECKEY_S). There are objects and related database tables in Revenue Accounting that have no direct relation to a header ID. Therefore, this program can't delete entries from these database tables. Note If you used transition, you can rerun the Calculate Cumulative Catch-up Effect for Transition program (transaction FARR_TRANS_CATCHUP) with attribute Force New Run to ignore the existing entries in the FARR_D_TRANS_REC table. Administrator - Revenue Accounting : Schedules and runs periodic jobs for RAIs processing, revenue postings, etc. Revenue Accounting Contract Processing Administrator - Revenue Accounting ,,, Clean Up Productive Data",0,0
FPRS,"Display Open Repayment Requests You can designate payments for refunding in a payment lot. The payment program then repays the amounts. A list display and a reversal transaction can be used for repayment requests. If you are unable to assign payments received because the payments were not intended for your company, you can initiate repayment within the payment lot, provided qualified bank data exists. Reconciliation Specialist - Accounts Payable and Receivable (FI-CA) : Is responsible for the reconciliation of Contract Accounts Receivable and Payable (FI-CA) with the General Ledger (FI-GL) and all reconciliation accounts and tax on sales and purchases Clearing accounts. Accounts Payable and Receivable Accountant (FI-CA) : Deals with payment and credit clarification of B2B and B2C customers and works off complex customer requests according account clarification. External Auditor - Accounts Payable and Receivable (FI-CA) : Reviews the accounts of organizations to ensure the accuracy and completeness of their financial records. Determines if the financial statements of an organization fulfill all required legal accounting policies, and procedures. Contract Accounts Receivable and Payable Accounts Payable and Receivable Accountant (FI-CA)| External Auditor - Accounts Payable and Receivable (FI-CA)| Reconciliation Specialist - Accounts Payable and Receivable (FI-CA) Display Open Repayment Requests",0,0
CPTK,"Run Actual Template Allocation - Projects Enter the receiver objects in the entry screen for template allocation to determine the overhead costs. When you carry out the allocation, the system does the following:Through the search rule you defined, the correct template is assigned to the receiver objectThe template finds the correct business process(es) or cost centers/activity typesIt calculates the quantities demanded/requiredIt sets the time period of the allocation and checks, if necessary, the activation requirements The result is a list of receiver and sender objects of the activity quantities and relevant costs (quantity*price). The price is calculated based on the valuation variant, which is tied to the receiver cost object for the simultaneous costing using the costing variant. If the receiving cost object is not tied with a costing variant for the simultaneous costing, then the planned price for the period is used for the valuation. The use of template allocations is one method to assign overhead costs. This method is unique for several reasons:Costs are not just allocated, but the system also determines the quantities that the respective receiver objects consume or utilize; costs are calculated based on the quantities and prices, and therefore more accurately determinedWorking with templates: the sender, quantities and activation time do not already exist, but can be dynamically determined through the template at the time of the calculationThe template uses functions defined by the user or already provided in the system to determine the needed data; these functions pull information already in fields or carry out complex algorithms from the operative data in the SAP system; they are created and maintained in the environment maintenanceSender objects can be business processes or cost centers/activity types. Possible receiver objects of the template allocation in actual can be: Product Cost CollectorPP-Production OrdersCO-Production OrdersPP-Process OrdersSales OrdersService OrdersInternal OrdersWBS ElementsHeader and activity assigned networkProfitability segment of profit and market segment analysisCost centers or cost centers/activity typesBusiness Processes In order to describe the allocation quantities in actual, you can draw upon actual quantities updated in the SAP System (such as the Logistic Information System or the confirmed quantities entered in the system). Example For example, the number of purchase orders per sales orders serves as the process driver of the procurement process for a sales order processor. You can configure the Logistics Information System so that it updates the appropriate key figure for this sales order for each procurement transaction related to the order. Thus, at the time of template allocation, the relevant template function uses the most recent information on procurement occurrences for the sales order from the Logistics Information System Template-Allocation for Cost Objects (example, production order) unknown Activity-Based Costing Projects Run Actual Template Allocation - Projects",0,0
F2660,"Find Maintenance Task List Display maintenance task lists by using the free text search or by filtering for parameters, such as Planning Plant, Work Center, and Key Date Display a single maintenance task list Show general information about the maintenance task list, such as Long Text and Work Center Show the details of the related operations Show the operations and suboperations of the maintenance task list List the maintenance packages of the maintenance task list List the attachments of the maintenance task list With this app, you can find and display the following maintenance task lists: Equipment task list Functional location task list General maintenance task list You can do this either by filtering the list or by using the free text search. You can display a single task list to view its properties, its assigned operations, and its attachments.Note You cannot access hierarchical task lists from this application. Maintenance Supervisor : Collects, reviews, and prioritizes all maintenance requests from different sources and ensures that they contain all the relevant information required so that the problems can be solved quickly. Maintenance Planner : Carries out preliminary costing, work scheduling, material provisioning, resource planning, and, if necessary, requests permits to ensure that maintenance activities can be performed most efficiently and safely. Maintenance Technician : Performs and confirms planned and unplanned maintenance work on machines, equipment, and facilities efficiently and safely. Master Data Specialist - Maintenance Management : Fiori User Interface (UI) for PM Maintenance Planner| Maintenance Supervisor| Maintenance Technician| Master Data Specialist - Maintenance Management Find Maintenance Task List",0,0
WA03,"Display Allocation Table Selection of issue document schedule lines on the basis of specified criteriaYou can specify criteria for taking account of issue document schedule lines. Possible criteria are the distribution center, recipient, relevant period, and issue document type, for example. You can take existing warehouse stocks and open purchase orders into consideration as procurements that have already been completed. The selection procedure is the same as that for collective processing of due documents in Logistics Execution. Issue documents must also meet the following conditions: Multiple partial deliveries must be permittedThe issue document items cannot be assigned any special stockThe issue document items must not relate to batchesThe issue document items must not relate to delivery groups Determination of potential collective purchase order itemsOn the basis of your entries, the system selects the relevant issue document items and their schedule lines and adds up the quantities of each article for each distribution center to create potential collective purchase order schedule lines. A potential collective purchase order item is then created out of one or more collective purchase order schedule lines. Processing of collective purchase order items onlineYou can process potential collective purchase order items individually or in a worklist, and make any changes that may be necessary. For example, you can assign sources of supply or change the quantity of the schedule lines. Collective purchase order generationWhen you create collective purchase orders online, you first process the potential collective purchase order items and then start collective purchase order generation for one or more items. Collective purchase order with sub-items for supplementary logistics services (SLS)In a collective purchase order, you can order articles for which the supplier is to perform special services (for example, pre-packing). If you generate a collective purchase order for an article for which SLS data is defined, the SLS data is automatically included in the collective purchase order. If pre-packing is required, the system generates sub-items for every collective purchase order item. A sub-item is created for each recipient and the quantity allocated to that recipient. Quantity optimizingQuantity optmizing takes place during collective purchase order creation. You can use collective purchase orders to plan the distribution of merchandise. You can use a collective purchase order to combine the requirements of recipients, that may exist in the system as warehouse orders or sales orders, to create a single order for a supplier (“pull” process). Distribution data for a collective purchase order is kept in the system and you can then use this to control and monitor the distribution of merchandise to recipients. Allocator (Retail) : Is responsible for the distribution of products from distribution centers to stores throughout the lifecycle of these products. Allocation Allocator (Retail) Display Allocation Table",0,0
BOE_IMPORT_EXCEL (AC_BOE_IMPORT_EXCEL),"Create BoE Payable in Batch - China, Create BoE Receivable in Batch - China This app is a Web Dynpro for ABAP application. These classic applications are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Cash Management Specialist for China: (is an add-on role to the Cash Management Specialist) Executes cash transactions and centrally manages bank accounts with a wide range of attributes, including overdraft limit and signatories, utilizing approval process for opening or closing bank accounts, and the regular inventory/auditing process. China Cash Management Specialist for China China,China Create BoE Payable in Batch - China, Create BoE Receivable in Batch - China",1,1
F3766,"Manage Group Structure - Unit View This app provides the following key features: With this app, you manage the assignments of consolidation units to consolidation groups and make consolidation relevant settings for these assignments, such as the period of the first consolidation, the period of the divestiture, and the consolidation method. Group Accountant : Executes and monitors group processing tasks, such as data adjustment, and inter-company elimination. General Ledger Accountant - Group Reporting : Ensures adherence of local data to group quality standards. Consolidation Specialist : Is responsible for the Consolidation setting, processing for the FI or other business data from subsidiaries. Generates the legal & management consolidated reports. Administrator - Group Reporting : Performs business oriented parts of configuration, such as master data maintenance, universal hierarchy maintenance, reporting items table, exchange rate, rule definition. External Auditor - Group Reporting : Ensures adherence of group data to legal accounting standard and process governance standards. Master Data Group Accountant| External Auditor - Group Reporting| General Ledger Accountant - Group Reporting| Administrator - Group Reporting Unit View Manage Consolidation Group Structure - Unit View",0,0
F5145,"Explore At-Risk Customers In SAP S/4HANA for behavioral insights (abbreviated to: Behavioral Insights), you can use the Explore At-Risk Customers app to analyze risk scores and trends across the scenarios delivered by Behavioral Insights. You can also study customer pulse by viewing and analyzing the actions that they perform.The latest enhancement adds Success Tracking features to this app, including the following: Dunning by Collection Strategy events can now be easily consumed by the ML models, as well as displayed on the Customer Pulse (visual timeline) While viewing the SAP Fiori app, Explore At-risk Customers, the debt manager can filter, view, and group customers by the current Collection Strategy and Collection Step For more information, see Explore At-Risk Customers. Accounts Receivable Manager - Public Sector : Manages taxpayers and their tax data. Also deals with debt management. Behavioral Insights (S/4HANA) Accounts Receivable Manager - Public Sector Explore At-Risk Customers",0,0
_SCMTMS_TRANSP_UNIT (_SCMTMS_TU_TRAILER),"Create Trailer Unit, Display Trailer Unit, Edit Trailer Unit This app is a Web Dynpro for ABAP application. These classic applications are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Transportation Planner : Manages transportation planning activities. Freight Order Management Transportation Manager| Transportation Planner ,, Create Trailer Unit, Display Trailer Unit, Edit Trailer Unit",1,1
F2172,"Create your own visual alerts on KPI tiles for a specific time period and other related features.See real-time data from different perspectives or dimensions.Navigate with context transfers between chart views.Make selections in charts and other representations.Automatic time calculation to convert time from seconds to a convenient unit of measure. In addition, the app supports the following technical features and options: Launch application from Smart Business KPI tile.Facet filters (global filters).Automatically calculated fields: PlannedOperationDuration, ActualOperationDuration, OperationDurationDeviation, OperationDurationDeviationPercent. This app uses the following CDS views: C_MfgOrderOperationDurationQryI_MfgOrderOperationCube With this app you can compare the planned and actual operation durations required for execution. The planned operation durations are defined in the manufacturing order and are calculated using the durations defined in the routing or master recipe. The time that was actually required for execution is recorded in the production confirmations. Using this app, you can easily compare these values. You can perform a step-by-step analysis for a specific time period and continuously fine-tune the production facility. Note This app considers only orders that have been finally confirmed. Development Manager - Process Industry : Manages a team of formula developers and analyzes changes and their impact in line with given targets. Production Engineer - Process Manufacturing : Maintains manufacturing-relevant master data such as master recipe and resource. Frequently cooperates closely with PLM department, production supervisors and other people relevant for manufacturing. Production Supervisor - Discrete Manufacturing : Ensures, together with his team, a smooth production process. Ensures that the manufacturing plan created by the production planner is executed under consideration of shop floor related issues like personnel shortage, machine breakdowns, etc. Production Engineer - Discrete Manufacturing : Maintains manufacturing relevant master data such as routing and work center. Frequently cooperates closely with PLM department, production supervisors and other people relevant for manufacturing. Production Planner : Plans, monitors and adjusts material supplies produced internally and ensures material availability for sales order fulfillment and production supply. Collaborates internally with customer care and other production planners. Production Supervisor - Process Manufacturing : Ensures a smooth production process. Ensures that the manufacturing plan created by the production planner is executed under consideration of shop floor related issues like personnel shortage, machine breakdowns, etc. Fiori UI for Production Orders Production Planner| Production Supervisor - Process Manufacturing| Production Engineer - Process Manufacturing| Production Supervisor - Discrete Manufacturing| Production Engineer - Discrete Manufacturing Production Execution Duration",1,1
RESCSEAA,"Assessment Adjustment COA You can adjust assessments based on the distribution of the annual budget to the individual assessment contracts. Here the system simulates a settlement based on the current plan version (plan or actual costs) of the annual budget, and clears the paid assessments against the new expected payments due from the owners. You can have the system perform this simulation on the basis of different plan versions of the annual budget. The assessment adjustment proposed by the settlement run is not adopted in the assessment contracts until the adjustment is activated. You can continue to modify the adjustment amounts until the adjustment is actually activated. unknown Service Charge Settlement Assessment Adjustment COA",0,0
F0617A,"Data Aging Objects, Monitor Data Aging Objects With this app, you can monitor the status of data aging runs that have been executed for your data aging groups. In the app you get detailed information about individual data aging runs and you have the option of analyzing error situations, such as failed runs. For example, you can schedule new jobs to resolve error situations.You can:Display a list of data aging groups with information about the status of the latest data aging runSort, filter and group data aging groups by various criteriaDisplay details about the recent runs for each data aging groupDisplay a data aging log with lists of messages and processed data aging objects for each runCreate jobsYou can create and edit data aging groups. You cannot edit the SAP delivered aging groups.You can stop a data aging run in process unknown Fiori UI for ILM Workplace , Manage Data Aging Groups (Version 2)",0,0
WBWF,"Process Workflow - Trading Contract For further information on the features of the individual workflows, see: Forwarding Trading Contracts for Display Only (Workflow) Forwarding Trading Contracts for Change (Workflow) Forwarding Trading Contracts for Release (Workflow) You can use the workflows described here to define that the transaction Workflow Workbench: Trading Contract is used to forward trading contracts to certain employees for Display , Change , or Release purposes, so that customer messages can be processed, for example. unknown Trading Contract Trading Contract Process Workflow - Trading Contract",0,0
F3779,"Import Statistical Key Figure Plan Data Import statistical key figure plan data records stored in a CSV file. Include all fields from Fields for Statistical Key Figure Plan Data Import. Automatically validate all values from the CSV file before the import. A statistical key figure is a number providing information about non-monetary data relating to organizational units. Statistical key figures can be used as reference data for universal allocation. For more information, see Statistical Key Figure. Use this app to upload statistical key figure plan data stored in a comma-separated values file (CSV file). The app allows you to perform your planning in an external system, such as Microsoft Excel. As a key user, you can use the Custom Analytical Query app to create a report based on the released I_FinStatisticalKeyFigureItem DDL view that allows you to view your uploaded plan data. Cost Accountant - Overhead : Defines overhead master data and the period-end allocation cycle. Implements period-end allocation and monitors overhead costs. Reports expenses on the income statement in the period in which they are incurred. Planning Cost Accountant - Overhead Import Statistical Key Figures Plan Data",0,0
OJIT5,"Maintain Sort Variants - Inbound JIT Call, Maintain Sort Variants - Outbound JIT Call This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Just-In-Time Processing Inbound JIT Call,Outbound JIT Call Maintain Sort Variants - Inbound JIT Call, Maintain Sort Variants - Outbound JIT Call",1,1
